COMP ID,S100/8123,S101/8118,S102/8145,S103/8150,S104/8162,S105/8151,S106/8079,S107/8192,S108/8103,S109/8446,S110/8096,S111/8449,S112/8459,S113/8451,S114/8452,S115/8234,S116/8209,S117/8026,S118/8490,S119/8130,S120/8477,S121/8264,S122/8134,S123/8176,S124/8220,S125/8210,S126/8135,S127/8112,S128/8202,S129/8204,S130/8507,S131/8274,S132/8297,S133/8222,S134/8546,S135/8381,S136/8391,S137/8574,S138/8047,S139/8583,S140/8013,S141/8080,S142/8621,S143/8071,S144/8417,S145/8371,S146/8430,S147/8639,S148/8242,S149/8312
HMDB29377,"9,370,957","317,995","285,862","1,972,718","8,145,273","2,972,276","1,389,119","1,800,684","6,591,116","4,060,453","1,492,987","12,865,342","913,263","4,330,124","2,261,960","18,915,292","9,242,661","243,547","971,808","4,109,850","23,815,416","2,937,982","571,595","6,336,331","1,946,143","3,208,444","534,586","24,923,180","26,899,592","644,436","6,486,892","1,303,749","171,719","7,190,829","3,120,677","7,878,037","1,081,817","4,606,453","1,107,163","10,887,731","25,652,048","2,238,714","4,351,591","4,426,411","11,377,163","1,012,435","94,088","582,966","2,245,401","7,309,452"
,,,,"416,136,384",,,,,,,"343,385,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMDB10318,"97,348","116,471","96,407","287,916","333,268","699,512",,"158,336","278,756","117,011","273,541","133,284","130,577","179,590","158,858","72,679","45,489","32,535","161,992","386,717","172,506","104,508","96,366","3,675,645","166,945","108,571","216,238","113,289","377,550","160,551","75,940","311,604","535,374","34,271","203,875","221,934","108,663","135,613","298,348","53,627","127,946","441,165","365,568","66,538","156,957","300,723","35,731","304,561","150,833","243,673"
,"2,044,041","6,323,422","14,359,640","7,733,340","4,791,561","10,004,271","4,614,125","26,947,920","4,331,060","14,165,792","14,895,915","8,177,984","4,334,161","9,661,341","20,682,304","5,255,642","27,085,848","14,777,272","2,075,927","11,485,905","3,743,024","16,031,651","13,370,756","13,321,692","5,495,530","4,091,848","9,195,623","1,616,466","4,202,371","6,891,242","8,961,724","31,860,664","16,726,111","4,108,346","17,398,012","14,815,137","10,066,356","8,340,533","10,336,530","1,993,016","13,258,026","9,183,045","11,524,963","2,656,883","11,788,000","29,243,856","7,363,134","10,339,260","11,237,817","8,323,370"
,"574,115","2,660,369","5,989,637","1,233,505","1,866,240","3,379,730","1,510,878","5,153,307","1,917,837","1,964,649","3,519,543","1,681,205","1,410,676","2,780,324","5,861,136","2,510,253","2,221,426","1,866,696","854,075","2,051,464","889,034","2,399,401","2,480,628","5,510,648","937,304","2,642,321","2,642,381","210,613","2,317,731","4,026,130","1,735,114","5,863,711","7,261,437","1,026,390","4,328,414","4,402,432","3,739,279","3,478,885","4,301,906","800,419","1,183,952","2,545,593","2,398,797","575,531","1,480,944","5,914,575","842,045","3,423,508","4,582,070","2,822,286"
,"591,682","3,260,750","5,767,421","5,193,842","2,023,679","4,286,565","1,561,169","8,529,723","529,426","5,650,356","6,625,482","2,971,506","2,951,718","4,066,033","6,373,260","2,005,109","4,164,600","7,723,157","726,748","6,777,197","1,940,237","5,794,646","4,717,637","3,082,006","3,830,191","1,631,715","2,655,429","366,983","2,259,853","3,415,734","3,773,090","8,572,495","3,986,058","2,129,238","5,862,332","6,161,027","3,998,969","2,988,478","3,940,519","805,368","3,397,739","4,426,022","3,737,536","670,224","7,874,666","10,234,095","1,599,703","4,467,474","3,899,428","3,116,480"
,"262,906","2,078,379","3,516,403","1,746,246","1,203,030","1,628,094","932,512","2,752,180","305,870","1,221,693","2,857,606","1,150,078","1,755,196","1,895,910","2,925,532","1,433,923","878,570","2,043,411","403,036","2,301,530","645,594","1,922,549","1,917,317","2,036,224","1,158,193","1,358,655","1,296,872","158,560","1,431,663","2,982,901","1,246,839","3,665,579","2,213,189","1,060,391","2,384,557","2,592,974","2,606,040","1,979,384","2,975,839","724,790","493,528","1,966,473","1,304,281","350,290","1,604,243","4,693,431","331,828","2,726,222","3,604,269","1,308,451"
HMDB00774,,"1,049,586","1,077,540","203,656","533,346","658,739","169,994","1,038,401","675,209","488,295","1,209,621","875,396","115,738","540,843","1,246,295","823,905","1,250,011","735,202","85,728","522,462","149,568","561,551","460,764","1,138,664","176,082","937,000","591,411",,"605,878","1,173,660","526,311","1,774,817","1,779,307","309,849","1,403,407","956,174","710,466","560,002","1,062,681",,"804,069","356,363","894,581",,"118,624","1,686,316","155,784","2,342,875","1,157,705","394,941"
HMDB06695,"14,652,987","12,727,143","11,555,749","7,670,301","14,362,003","14,744,469","20,892,474","7,946,624","13,163,177","4,480,933","11,619,910","22,267,352","9,961,331","14,527,973","20,280,610","33,080,374","18,018,324","10,789,137","12,950,948","12,897,849","10,980,498","18,977,428","5,410,707","11,275,414","32,417,414","14,209,662","6,792,320","8,555,847","12,549,555","8,410,980","18,388,818","52,462,588","18,169,698","10,266,785","24,954,362","20,864,576","22,034,566","51,728,168","11,044,526","9,023,454","30,765,540","21,376,208","30,862,072","9,400,743","75,330,368","25,413,392","13,063,387","16,849,550","12,067,936","11,426,335"
HMDB00162,"1,703,736,064","1,345,844,224","1,311,940,352","1,635,683,072","1,984,133,632","1,455,019,136","1,444,397,440","1,715,544,320","1,003,197,056","1,021,481,856","1,369,370,112","1,822,228,480","1,248,298,624","1,899,175,424","1,151,065,984","1,005,406,976","1,907,199,360","1,562,553,856","2,241,767,936","1,105,556,096","1,119,929,984","2,409,789,952","1,818,516,480","1,462,482,304","1,491,612,800","1,586,916,992","1,635,779,328","1,197,986,048","1,687,678,592","1,841,056,128","1,407,865,856","1,749,555,712","1,480,801,536","1,214,300,032","1,033,885,888","1,284,875,904","973,401,728","1,593,603,200","1,359,372,032","1,798,575,104","1,648,933,888","1,836,544,512","1,330,915,328","1,495,259,776","1,155,208,448","1,654,514,048","1,369,298,048","1,420,808,832","1,551,537,024","1,528,186,496"
