COMP ID,S100/8123,S101/8118,S102/8145,S103/8150,S104/8162,S105/8151,S106/8079,S107/8192,S108/8103,S109/8446,S110/8096,S111/8449,S112/8459,S113/8451,S114/8452,S115/8234,S116/8209,S117/8026,S118/8490,S119/8130,S120/8477,S121/8264,S122/8134,S123/8176,S124/8220,S125/8210,S126/8135,S127/8112,S128/8202,S129/8204,S130/8507,S131/8274,S132/8297,S133/8222,S134/8546,S135/8381,S136/8391,S137/8574,S138/8047,S139/8583,S140/8013,S141/8080,S142/8621,S143/8071,S144/8417,S145/8371,S146/8430,S147/8639,S148/8242,S149/8312
,"5,903,159","5,663,737","5,147,226","1,737,881",,"5,947,043","3,371,755","6,546,006","1,539,508","6,653,779","7,924,918","10,568,165","5,774,013","3,331,471","3,021,073","2,869,069","2,410,568","9,935,144","5,142,067","3,375,262","2,530,582","3,481,954","5,053,049","1,714,785","3,129,680","3,696,960","2,789,271","3,490,492","3,974,091","7,324,546","2,427,779","7,882,848","1,915,306","6,181,182","5,631,905","3,537,097","2,145,987","6,286,019","2,280,174","2,322,916","4,965,801","2,536,963","1,914,955","3,008,419","5,031,179","2,978,958","11,188,075","4,367,276","2,713,369","14,531,585"
,"24,728,476","13,505,838","14,950,350","4,810,293","6,732,866","21,997,594","11,729,374","19,707,016","5,614,836","17,073,016","15,248,463","23,724,426","20,488,094","9,198,122","7,822,053","8,006,149","5,660,290","32,738,178","13,214,931","9,002,919","6,844,574","11,417,987","15,183,803","6,013,942","10,622,703","8,084,066","6,929,522","12,344,197","13,136,642","18,796,376","8,012,499","21,480,740","7,890,054","19,144,718","17,914,900","13,118,832","8,406,578","26,312,464","6,017,033","7,574,662","11,617,086","8,728,565","3,770,438","11,668,994","19,391,216","12,219,836","21,225,984","14,233,972","10,719,855","34,336,664"
HMDB37397,"2,003,671","1,616,487","944,995","574,594","614,774","1,472,496","1,010,018","1,824,486","781,266","2,264,328","955,983","1,458,403","1,588,945","832,527","673,079","1,002,597","517,141","2,278,554","860,868","818,445","628,036","1,698,539","1,300,966","705,826","822,253","777,921","621,989","1,431,987","1,060,163","1,659,876","837,225","1,949,093","843,966","1,721,338","1,571,981","1,418,227","901,267","1,892,053","695,494","818,375","1,238,198","932,107","401,117","1,130,841","1,703,080","1,188,303","1,423,749","1,235,898","1,314,758","2,102,083"
,"545,451","255,160","1,026,676","336,537","346,335","518,123","1,059,759","1,112,599","249,858","1,016,156","234,468","885,027","943,421","537,196","736,039","933,356","194,724","513,132","498,273","455,158","796,120","244,733","669,857","313,140","573,506","409,644",,"605,877","574,593","697,166","579,519","635,131","499,921","1,037,449","904,693","1,134,859","797,492","751,036","854,601","665,854","659,563","816,226","261,173","1,395,171","725,687","540,545","403,863","334,166","638,447","2,277,111"
,"65,142","1,830,355","1,009,279","25,655","347,496","55,415","1,520,953",,,,"1,087,166","50,270","88,552","178,811","42,410","327,623","198,790","902,053","568,017","20,787","22,125","569,358",,,"442,299","22,097","30,905",,"47,221","924,955","93,948","594,689","21,236","483,543","1,266,985","18,855","566,967","630,149","39,847","41,008","484,213",,"418,229","16,608","212,793","459,773","698,501","683,945","103,081","198,934"
,"794,212","950,608","1,258,243","1,368,980","1,298,900","1,418,289","937,096","730,146","983,118","516,900","833,233","629,712","871,012","1,472,416","1,662,461","1,051,978","2,181,805","1,086,438","1,109,641","1,024,439","1,162,005","974,788","1,093,360","1,248,163","3,124,091","860,672","1,760,489","1,211,665","829,216","838,624","1,966,533","983,053","2,470,382","645,354","1,100,882","1,258,365","1,343,419","1,310,606","1,372,844","1,041,176","1,681,080","1,249,277","2,982,679","1,034,793","1,368,676","993,960","915,331","1,304,175","908,605","1,132,501"
HMDB13127,"2,664,588","668,899","2,201,114","1,552,280","730,127","1,255,740","1,445,071","3,316,082","659,189","1,479,484","1,491,855","1,422,068","3,152,372","717,896","1,806,777","3,706,190","1,078,263","1,890,669","1,307,856","523,037","677,226","1,317,461","1,555,532","851,784","1,509,094","367,508","717,656","1,062,771","1,201,324","938,749","1,245,639","2,276,282","1,384,108","1,194,731","6,263,290","1,368,905","1,919,661","243,994","522,038","967,952","2,048,359","651,607","436,112","1,760,865","2,257,267","477,985","625,134","969,698","914,937","3,228,381"
HMDB13127,"2,630,941","1,687,260","2,200,811","4,057,105","1,228,823","2,436,412","1,794,447","2,384,092","1,991,036","2,222,639","2,793,626","1,903,186","3,220,051","1,587,508","2,115,947","1,995,739","2,930,411","3,457,388","4,162,421","1,754,144","3,110,690","940,110","1,966,836","2,287,376","4,345,234","1,654,518","1,194,162","2,616,514","2,988,618","2,260,197","2,115,448","2,124,405","2,075,555","1,713,986","4,596,136","2,071,508","2,343,098","717,163","1,153,255","1,479,555","1,927,071","2,037,778","2,028,712","2,854,106","1,805,838","1,474,353","963,518","2,118,113","1,129,401","1,867,429"
,"517,301","429,813","343,789","901,953","500,787","554,406","400,014","510,137","304,325","495,309","396,131","389,610","418,857","711,325","559,902","402,468","916,476","494,648","476,769","634,015","485,851","466,214","462,634","383,933","1,136,053","556,442","721,155","341,383","587,714","516,173","719,314","633,453","735,681","704,148","806,221","864,214","508,900","818,087","642,521","633,827","684,711","995,674","885,453","463,570","686,441","559,649","512,582","524,030","612,106","524,860"
,"2,639,039","855,336","755,825","1,573,862","2,430,069","1,061,930","1,706,001","2,946,684","1,443,328","3,999,278","1,454,337","921,002","1,383,195","960,214","1,251,487","943,268","825,455","2,517,424","925,801","1,673,922","1,342,011","2,075,890","1,958,968","3,288,964","2,445,943","2,839,007","2,358,754","3,381,851","768,876","1,048,288","1,179,535","4,148,893","2,745,769","4,297,309","1,156,091","3,239,547","1,921,576","3,147,766","2,120,696","1,697,644","814,900","2,075,507","2,851,706","3,108,602","1,094,143","1,758,156","1,423,174","1,573,890","1,484,455","1,496,830"
HMDB11220,"11,147,493","13,414,771","10,637,131","9,432,367","14,769,526","8,354,423","11,031,701","8,187,482","19,700,786","12,686,159","13,441,042","5,508,995","11,373,590","9,298,909","22,537,884","13,516,518","11,354,465","20,042,184","10,678,183","13,333,638","15,812,116","23,685,632","9,317,514","15,041,466","14,101,848","17,277,284","19,124,398","18,055,144","10,661,548","9,054,785","19,461,174","21,260,362","22,432,064","16,025,285","22,937,248","14,244,370","23,465,292","21,339,196","12,004,645","5,166,155","11,214,563","19,969,868","18,283,964","17,432,776","15,312,406","18,824,882","8,693,515","15,692,077","15,857,086","16,292,795"
HMDB11352,"8,063,711","5,938,738","7,257,362","5,340,680","11,113,721","4,486,064","11,906,605","14,059,645","9,232,296","8,141,096","12,490,241","6,899,355","7,845,383","6,706,188","10,502,766","5,363,429","5,138,882","8,385,111","5,690,675","10,739,265","8,156,573","22,376,384","11,719,610","13,379,638","7,013,992","11,869,175","10,873,147","10,661,547","4,821,003","6,292,117","6,874,551","17,627,632","10,126,625","12,537,944","10,841,252","10,190,808","12,425,585","12,867,940","7,535,683","5,007,444","6,309,797","14,378,167","11,261,059","11,223,450","11,696,609","8,887,864","7,275,162","15,173,953","17,007,494","9,570,884"
HMDB11211,"16,567,145","17,672,524","17,034,320","9,836,780","19,252,668","9,465,062","15,960,493","9,859,188","30,519,180","18,476,506","20,008,888","10,887,253","23,897,152","16,609,466","27,797,690","14,649,688","20,856,476","24,720,032","6,882,017","13,795,831","26,251,588","22,488,504","18,233,868","18,138,596","12,277,228","20,295,940","21,461,888","22,212,508","13,692,764","9,496,052","13,202,409","21,951,436","21,084,648","19,791,026","23,943,032","12,280,445","35,938,476","18,232,986","16,646,965","6,686,748","16,543,257","30,085,694","20,443,164","23,751,858","15,050,265","20,655,468","18,694,148","18,294,620","23,987,588","22,822,188"
HMDB11343,"1,194,537","948,734","1,423,586","704,469","1,869,919","549,149","2,260,779","1,602,150","1,554,103","1,009,077","2,230,079","1,397,325","1,369,535","1,960,819","1,670,491","762,420","1,291,711","821,466","736,640","1,376,155","1,474,237","3,333,437","2,710,105","1,522,481","878,909","1,700,957","2,490,702","1,397,870","1,010,742","737,280","874,340","2,373,143","1,634,114","1,957,264","1,223,026","996,862","2,863,395","1,733,161","946,067","651,496","899,253","3,019,657","1,412,612","1,410,469","1,287,457","1,042,408","2,017,070","1,911,567","2,672,805","1,772,037"
,"4,052,699","5,194,964","3,769,180","3,369,182","6,615,203","3,997,106","4,012,110","3,552,003","12,803,043","5,610,707","7,162,692","3,725,549","5,339,573","4,865,778","8,928,211","5,979,137","8,212,568","8,571,575","2,930,083","5,643,575","9,349,134","6,024,701","5,694,781","5,863,993","5,557,424","7,350,178","7,264,447","5,807,568","5,006,600","3,765,889","5,134,413","6,109,983","8,484,687","5,640,940","9,626,574","5,387,540","9,420,890","7,596,348","5,078,889","2,855,736","5,801,495","10,841,338","6,713,194","5,939,945","5,567,154","6,649,165","8,856,047","6,314,012","5,972,764","7,892,182"
HMDB11342,"1,134,530","977,089","1,092,998","746,625","1,480,445","757,728","1,737,919","1,853,604","1,271,335","1,245,080","2,060,534","1,110,712","1,098,186","1,199,216","1,481,670","931,372","1,229,824","858,570","886,279","1,070,204","907,269","2,892,172","1,922,408","1,219,231","840,579","1,235,859","1,629,290","961,318","833,406","1,107,100","1,188,412","2,202,082","1,434,296","1,794,085","1,506,897","1,012,917","2,548,080","1,642,492","1,282,342","700,749","1,334,152","2,146,069","1,182,484","1,154,906","1,255,489","1,257,719","2,109,892","1,469,955","2,227,266","1,929,572"
HMDB11207,"372,025","396,805","439,965","326,928","417,596","232,741","385,722","394,319","1,177,700","719,753","504,463","247,024","697,367","424,083","793,131","474,383","770,957","613,432","287,668","428,891","582,299","498,365","512,899","197,343","501,945","654,799","545,069","411,797","428,104","273,933","476,756","526,427","388,205","593,674","880,475","575,144","854,120","619,451","190,235","191,800","516,659","968,491","644,595","603,513","598,619","640,300","567,651","403,043","433,868","850,445"
HMDB11206,"3,102,597","4,589,942","4,553,965","3,486,980","4,818,443","2,493,885","4,373,168","5,467,833","9,383,165","4,926,165","5,215,893","3,207,278","4,472,445","4,880,110","7,148,003","4,969,285","6,467,089","7,235,232","2,755,222","5,872,466","6,594,985","4,429,174","4,196,535","3,890,587","6,020,242","5,602,361","6,402,150","5,044,159","4,180,701","3,657,516","5,351,575","5,895,977","4,531,638","5,623,722","7,284,242","4,802,730","6,725,144","4,770,952","2,823,720","2,316,435","5,420,603","8,084,686","6,063,682","5,313,683","4,754,737","5,766,059","4,924,708","4,815,718","4,524,350","6,170,964"
HMDB10407,"2,291,473","3,298,544","1,659,995","1,785,740","3,301,341","1,681,928","3,107,966","1,862,106","2,728,786","2,507,857","2,449,012","1,441,623","2,572,622","2,879,886","3,692,765","2,647,072","1,890,478","4,523,477","1,602,337","2,981,649","4,189,781","3,050,643","2,499,534","1,886,863","2,610,500","4,492,189","2,835,263","2,899,240","1,996,830","2,272,426","3,460,782","3,018,404","2,971,781","3,078,444","2,162,378","2,367,780","3,660,040","3,318,179","4,020,969","1,695,178","1,314,924","3,788,469","3,728,923","2,712,134","1,947,449","2,558,424","2,867,207","2,686,824","2,973,837","2,168,732"
,"766,569","591,908","493,550","489,909","957,928","437,220","992,267","1,001,452","569,428","639,223","915,174","562,009","693,369","727,640","793,052","499,114","442,789","728,460","483,864","973,143","728,892","1,394,475","908,644","673,499","714,911","1,258,126","733,666","817,063","446,689","732,980","725,633","1,181,188","691,931","1,009,428","676,082","673,787","1,019,167","882,645","1,031,837","545,512","429,939","1,180,715","933,945","910,797","715,847","532,888","997,282","1,095,078","1,048,894","738,745"
HMDB05779,"21,567,898","18,051,416","15,297,822","15,617,285","29,105,526","16,400,697","25,322,564","24,363,930","34,927,052","18,335,808","27,568,966","12,439,524","25,967,258","13,467,732","28,060,440","14,517,093","14,419,711","24,982,800","16,233,907","33,880,132","27,212,278","43,065,376","20,849,486","36,045,316","21,344,924","34,457,380","31,827,636","33,357,550","17,508,822","16,595,226","25,347,878","43,035,384","33,826,516","34,845,952","30,993,772","26,494,516","41,612,424","39,822,300","20,807,426","9,654,668","20,648,616","41,221,908","27,573,314","35,275,484","34,100,816","27,476,186","18,334,780","36,296,872","36,342,036","28,454,088"
HMDB11376,"6,283,162","6,682,754","7,923,207","3,621,987","8,670,521","3,567,490","9,502,815","10,879,548","9,796,374","5,364,726","10,019,159","9,029,307","10,322,039","9,739,659","7,616,896","4,049,070","10,151,608","4,882,504","3,535,521","8,326,997","7,737,851","13,680,713","12,250,257","8,264,028","4,834,927","9,425,026","11,739,709","7,434,595","5,408,713","3,543,649","4,858,199","12,345,530","7,180,258","10,486,733","7,409,736","5,094,148","15,740,920","9,951,016","5,701,257","2,898,343","7,908,154","17,603,002","6,167,963","8,401,507","7,890,698","6,088,808","14,460,300","7,567,331","14,742,843","13,312,024"
HMDB11375,"1,230,576","1,191,732","1,070,355","538,423","1,439,601","840,491","1,791,346","1,862,007","1,273,512","1,247,534","1,884,178","941,590","1,050,462","1,078,924","1,421,060","832,146","1,723,907","995,004","864,913","1,619,832","1,001,447","2,734,592","1,611,434","1,201,251","1,039,445","1,904,826","1,929,246","1,252,425","885,612","870,261","1,393,565","2,286,095","1,369,038","2,255,539","1,454,612","1,004,866","3,178,411","1,989,611","1,260,486","604,922","1,476,395","2,140,787","1,291,136","1,059,014","1,459,238","1,418,161","2,794,985","1,506,105","2,179,045","2,252,545"
,"846,285","819,426","546,236","634,151","1,167,152","584,184","1,075,769","909,990","845,810","627,746","907,811","568,006","961,930","818,038","1,078,939","514,935","634,462","921,402","565,762","1,359,200","1,083,682","1,406,741","911,325","860,685","931,485","1,551,328","941,785","1,052,712","597,039","736,946","1,001,543","1,224,432","911,667","1,215,125","781,934","762,949","1,506,526","1,189,740","1,191,695","568,940","604,181","1,587,861","1,105,848","1,142,545","855,518","714,235","1,153,851","1,137,991","1,323,826","977,501"
,,"286,379",,,,"28,178",,,,,,"92,888",,,,,,,,,,,,,,"1,931,763",,,,,,,,,"32,453",,,,"136,603","285,796",,,,,,,,,,
,"686,016","16,668,199","125,790","76,187","2,003,721","1,359,913","778,735","47,632","98,061","66,524","485,054","5,165,870",,"36,605","130,361","59,216","571,754","112,264","1,160,308","232,571","40,161","248,890","29,741","1,465,314","150,732","51,612,648","712,548","212,674","201,549","1,758,845","275,202","281,372","130,816","609,453","4,493,092",,"395,389","123,578","6,898,621","20,592,384","42,210","210,394","438,059",,"123,740",,"808,111","371,272","109,039","2,091,734"
HMDB08138,"41,726,576","58,702,168","45,488,404","10,105,984","35,623,352","27,731,994","37,266,584","68,470,840","52,940,576","28,015,472","40,023,376","55,045,076","51,937,176","53,095,016","33,834,856","17,296,030","50,816,632","21,513,902","16,429,594","26,263,126","61,924,020","25,587,860","42,290,128","36,141,936","16,838,056","43,630,800","31,892,984","28,402,462","20,085,364","31,874,032","20,664,596","29,844,860","16,328,135","35,321,120","29,744,052","25,594,344","42,478,184","35,992,336","43,298,832","14,059,784","43,025,368","57,970,296","28,049,686","38,401,136","40,224,396","29,218,258","55,729,820","27,773,248","65,526,528","65,382,416"
HMDB09093,"145,678","373,206","166,177",,"109,245",,"223,151","201,954",,"191,955","127,031","1,259,372","135,286","149,389",,,"333,087","84,371","99,485",,"150,804",,"217,140",,,"218,055",,,,"83,472",,"132,045",,,"70,648",,"167,815","252,972","211,757",,"247,958",,"45,829",,,,"266,244",,"143,399",
HMDB00564,"16,439,798","18,840,880","16,122,851","13,973,626","20,140,680","12,469,172","15,549,928","33,283,318","20,607,508","18,584,900","18,643,652","17,777,898","15,794,813","15,036,134","19,136,288","17,634,980","30,408,220","21,547,036","14,349,403","18,063,972","21,158,898","14,952,882","15,172,936","15,253,255","16,628,011","17,500,482","19,197,028","16,466,299","13,878,903","20,641,100","20,674,048","19,150,088","21,082,712","17,770,398","19,893,284","17,866,130","20,310,544","18,152,806","13,246,575","12,469,413","21,860,376","19,589,838","22,653,496","16,150,041","16,340,089","17,437,958","24,318,308","19,202,572","16,936,306","18,434,328"
HMDB02123,"447,086","2,052,807","186,302","25,564","623,133","1,604,628","259,198","265,179","203,217","195,178","124,789","110,431","144,529","288,393","36,321",,"146,158",,"643,993","345,066","891,742","66,633",,,"267,050","363,404","168,865","47,774","927,225","801,966","203,107",,,"231,648",,"281,928",,,"357,523","174,579","150,474",,,,"731,758",,"99,444","798,719",,"316,831"
HMDB01857,"662,456","911,777","967,013","94,836","679,130","2,548,886","275,807","293,641","304,216","587,402","252,071","315,917","494,419","410,786","138,599",,"221,065",,"1,141,927","395,534","901,261","267,757","127,019",,"580,201","123,515","229,245",,"684,849","1,055,727","290,720",,,"372,020","371,961","524,949","80,019","121,090","150,436","448,957","216,138","45,882","51,438",,"582,063","176,161","442,505","898,032",,"1,134,511"
HMDB02712,"46,603,524","125,826,704","168,934,928","38,039,688","176,676,096","163,152,880","131,447,384","132,407,440","63,492,364","67,581,792","112,665,184","86,392,400","106,276,128","185,201,456","143,487,952","169,534,608","113,984,168","132,179,088","44,804,512","12,894,787","122,533,232","232,550,416","118,461,880","124,642,800","93,771,984","121,179,416","142,008,320","40,171,188","146,724,992","103,552,008","38,109,448","151,461,216","118,446,968","133,218,552","56,442,496","115,914,744","236,385,472","84,972,728","122,562,744","129,273,048","11,139,832","40,018,864","170,974,928","157,957,120","134,074,720","123,255,984","90,729,584","124,723,808","143,713,328","76,513,160"
HMDB00640,"2,780,486","4,275,434",,"7,937,936","4,027,691","13,900,607","528,116","1,509,551","790,084","863,362","324,372","2,481,229","1,328,509","372,153","4,060,026",,"922,177","426,925",,"3,914,580","989,569","12,869,622","1,301,074","1,144,893","2,470,957","5,709,952","1,455,019",,"2,033,259","695,096","2,826,004",,"4,666,381","454,398","4,272,987","690,852","1,790,238","856,951","8,068,629","5,413,967","1,708,082","573,945","5,996,412","1,496,270","1,619,370","727,555","4,959,372",,,"1,938,359"
HMDB11103,"2,848,565","1,701,206","2,611,718","440,910","1,892,673","6,303,180","1,828,486","1,318,669","2,226,465","1,975,443","665,334","895,702","2,056,241","2,149,800","766,006","36,888","1,707,573",,"3,799,947","1,542,086","5,716,687","892,627","586,788",,"2,724,102","2,241,540","1,050,939","656,422","4,417,515","2,422,412","1,718,826",,,"2,078,382","1,195,967","3,471,765","179,863","420,242","2,543,046","2,005,788","3,246,557","148,780","308,848",,"3,447,222","340,109","1,176,663","2,509,544","51,813","4,084,332"
HMDB60038,"35,342,276","8,446,584","22,412,880","6,908,665","16,022,682","18,218,252","21,373,616","34,162,560","4,879,376","42,317,880","17,850,102","32,326,562","39,287,208","9,433,712","8,593,501","12,133,443","4,842,112","45,909,680","21,992,694","10,875,548","8,884,581","9,975,358","21,529,840","6,249,727","14,329,935","12,863,105","4,167,339","18,913,900","18,865,102","17,221,502","8,435,351","23,818,890","16,214,606","36,025,040","22,726,936","29,826,748","11,559,181","48,054,328","6,290,313","12,411,270","10,953,213","14,000,580","5,477,952","20,640,818","34,638,204","19,718,340","27,037,220","17,055,058","13,153,467","44,052,292"
HMDB13622,"9,665,028","4,001,411","7,168,949","1,938,514","4,173,862","7,895,104","6,854,071","10,491,288","2,322,330","11,343,862","6,207,786","10,684,425","8,805,791","3,611,448","3,424,706","5,269,062","1,450,905","14,270,722","5,091,349","3,817,887","2,973,004","4,348,571","7,273,398","2,775,752","4,615,933","3,932,902","1,936,974","6,648,538","5,542,497","7,263,930","3,008,469","7,379,524","5,684,869","8,515,674","8,371,071","10,054,603","3,973,255","13,759,060","3,254,375","3,672,726","5,612,232","3,971,970","1,683,243","6,575,465","11,153,184","6,730,676","8,229,785","5,284,586","5,180,908","13,508,850"
HMDB33724,"4,321,782","1,823,632","1,877,194","2,650,661","1,662,731","6,087,942","3,627,976","4,431,776","684,482","4,447,755","3,910,621","3,075,309","4,520,876","2,725,176","3,320,317","3,441,902","1,163,459","2,853,668","1,561,166","1,563,723","1,971,506","5,186,442","3,677,918","1,728,067","3,074,276","1,304,974","5,295,091","1,856,745","1,774,150","4,014,381","3,578,975","1,822,349","2,129,500","2,417,378","4,011,797","3,256,497","3,832,981","1,794,874","1,522,955","1,557,236","2,812,964","2,116,031","2,442,836","2,907,434","5,877,029","2,160,473","1,956,573","2,055,660","3,610,230","7,757,083"
,"85,322","496,299","310,114","1,417,334","465,337","685,586","213,265","324,295","84,971","25,309","173,184","501,987","195,242","700,187","210,195","240,129","92,831","258,278","264,552","604,072","198,397","405,414","238,779","123,645","304,882","376,821","275,528","24,886","752,228","691,295","1,062,386","544,686","281,604","354,693","298,084","316,527","178,081","223,876","1,585,676","353,212","144,704","154,023","513,979","112,679","335,780","153,222",,"1,100,566","536,937","372,469"
HMDB04705,"28,972",,"55,794",,,"95,460","61,084","79,533","174,581","89,734",,"132,249","73,608","138,015","188,442","136,211","135,063",,"68,273","67,769","113,451","145,470",,,"114,895","194,619",,,"127,655","108,763","79,103","242,767","364,173","79,336","51,249","89,291","170,737","211,887","142,781","56,431","246,945",,,"57,071","79,852","74,483","308,132","244,631","62,730","101,251"
HMDB06111,"233,457","63,479","123,925",,,"130,252","159,721","278,589",,,"162,447","123,792",,,,"114,466",,"293,994","148,725","89,592",,,"43,249","112,653","120,439","157,054",,"152,904",,"120,868",,"36,820","124,780","200,923","179,871",,"145,609","244,661","180,773","45,894","180,801","178,980","126,536","189,242","96,475",,"193,566","119,873","143,643","225,013"
,"1,603,829","992,648","967,156","309,992","1,242,723","715,722","1,113,257","1,973,139","914,714","2,424,177","1,699,401","2,298,370","1,081,894","854,148","1,233,887","814,716","635,358","2,019,391","1,285,516","562,974","709,171","994,316","1,336,469","929,130","1,196,686","1,164,624","681,232","985,020","1,533,306","1,038,879","851,682","2,134,325","2,586,833","2,034,938","1,877,721","1,886,882","2,329,828","2,905,634","983,349","1,161,730","4,177,834","1,350,533","1,119,753","1,603,366","936,599","1,691,570","2,472,091","1,455,159","1,003,414","2,957,178"
HMDB02110,"63,062","24,812","33,451",,,,"48,208",,,,"28,275",,,,,,,,"78,308","24,384",,,"29,891","11,348","38,294","74,845",,"26,808",,"48,723",,"109,512","20,638","115,843","52,519",,"47,748","103,927","54,879",,"39,535","36,587","23,695","62,664",,"156,041","104,930",,"42,601","109,771"
,"624,879","2,543,267","16,670,749","1,747,270","2,008,869","4,181,018","1,468,102","1,836,212","2,244,444","1,336,859","1,151,411","1,360,487","541,897","3,104,530","6,026,724","1,090,456","6,826,985","263,654","1,474,551","5,334,514","570,669","1,944,077","1,474,627","2,823,566","1,813,961","440,866","1,348,164","756,908","717,562","3,898,222","2,623,854","3,586,399","3,865,247","1,876,967","3,720,137","2,521,658","3,691,908","164,827","10,044,432","997,668","954,940","1,321,800","10,083,374","326,858","2,015,538","3,745,815","324,717","1,126,704","3,597,489","948,530"
HMDB06294,"1,071,889","1,242,024","899,199","519,824","1,002,208","678,660","2,155,606","3,839,983","431,525","1,891,146","1,296,855","1,925,536","1,366,690","1,054,562","963,347","1,683,137","621,404","2,162,847","978,167","1,126,831","879,886","965,171","1,323,624","602,086","1,101,792","1,166,006","823,153","843,676","1,004,579","1,168,049","1,026,201","1,606,908","1,775,894","2,141,859","1,197,741","1,978,357","1,143,635","1,673,175","1,131,042","1,184,303","1,087,813","1,157,969","831,559","1,312,330","1,728,117","1,335,303","3,277,169","1,071,471","1,294,119","2,433,739"
,,"357,394","162,856","469,061","75,679","147,761",,"150,901","25,814",,"110,065","285,276",,"571,640","258,666","73,189","90,503","180,867","45,594","343,006","36,612","466,581","108,759","1,164,981","199,398","77,325","98,743",,"412,891","204,061","65,857","624,714","259,853",,"136,556",,"92,033","90,823","347,213",,"43,862","76,143","337,376",,"71,875","141,231","82,175","574,397","195,141","353,018"
HMDB00416,,"103,533","83,468",,,,,"113,569","38,437",,"63,423","57,948",,"38,020","41,719","61,002","41,395","30,118",,"22,141",,"49,895",,"56,617",,"40,815","27,128",,,"93,369","42,516","82,231","71,028",,"33,155","61,344","21,388",,"38,474",,"31,863",,,,,"93,038",,"134,187","100,638",
,"150,531","98,721","106,162","155,481","189,358","314,279","159,022","105,444","107,985","441,384","175,092","25,557","193,426","89,421","88,961","300,338","271,734","381,104","303,594","162,457","272,806","114,688","69,653","151,318","145,972","407,110","211,142","137,199","114,745","123,141","207,451","152,938","293,158","153,024","66,903","253,102","125,381","433,575","230,127","84,926","192,458","42,097","402,689","271,919","145,524","241,843","127,415","156,249","148,494","100,466"
HMDB10395,"28,754,320","31,000,774","14,031,736","18,964,784","21,444,518","29,085,598","30,941,980","29,596,638","25,713,952","24,034,492","29,614,492","12,379,226","21,235,372","14,088,731","29,439,804","31,374,700","13,768,636","46,223,364","23,849,456","31,068,272","32,347,136","25,741,956","16,791,008","19,499,644","33,598,528","47,344,688","25,435,972","30,720,236","28,381,708","37,020,260","39,296,912","37,887,504","38,252,752","30,944,436","26,292,094","34,950,624","36,314,032","40,722,676","53,315,844","15,597,026","21,758,068","32,251,606","30,731,820","31,577,984","29,018,296","24,307,988","25,874,644","37,681,880","32,008,236","27,559,228"
HMDB11517,"3,844,644","5,558,933","2,937,995","2,971,553","4,060,138","4,260,095","5,580,715","5,113,443","4,263,662","4,105,194","4,189,138","2,730,272","3,706,898","2,495,506","3,582,542","3,441,128","2,384,649","9,295,143","4,883,038","3,944,888","4,359,319","5,053,073","4,450,491","2,501,225","4,574,264","5,856,588","3,750,891","4,547,748","3,259,694","4,378,352","4,175,048","6,618,401","3,839,965","4,645,044","4,666,978","4,941,992","5,103,532","6,264,585","5,287,506","2,264,513","3,636,674","4,256,521","4,660,021","4,076,574","6,056,537","3,928,028","5,190,762","3,617,391","6,244,318","4,348,426"
HMDB61690,"5,943,009","4,060,127","4,759,099","4,191,955","4,726,758","4,374,207","4,720,059","7,813,734","2,988,355","4,689,250","7,749,741","6,602,886","7,365,256","2,988,607","4,089,040","5,176,248","6,142,203","6,150,577","4,614,927","7,377,875","5,117,415","3,827,737","6,757,723","5,633,272","5,784,390","10,335,989","4,119,897","5,513,221","5,961,146","5,958,915","7,551,775","12,604,931","4,814,132","7,435,168","7,110,554","7,696,553","7,084,313","4,628,934","5,986,554","2,908,765","7,993,900","5,851,143","4,086,074","5,619,821","6,705,824","5,090,704","6,460,311","9,199,422","6,759,995","7,488,606"
HMDB11549,"213,136","178,138","229,176","323,809","206,675","158,951","249,927","354,696","105,613","594,724","311,491","175,648","429,719","150,486","215,123","147,516","164,053","377,679","310,713","293,760","195,694","160,911","194,205","166,382","476,586","581,493","130,739","322,145","288,412","441,180","465,124","512,099","215,956","236,411","169,093","330,009","369,874","314,571","334,107","138,023","295,958","199,109","229,943","343,836","305,108","159,489","91,960","180,884","144,013","342,604"
,"88,746","129,203","87,554","277,817","86,285","96,598","101,229","279,214","30,317","47,424","68,017","125,119","70,397","104,899","48,763","73,778","295,753","63,969","258,790","86,863","43,756","90,710","40,905","48,574","84,309","131,688","92,921","130,860","177,208","235,489","147,756","180,286","57,055","60,802","76,902","57,281","41,614","101,817","150,622","100,962","437,902","70,804","71,477","54,751","62,959","53,139","206,447",,"36,139","64,664"
,"103,211","135,354","70,783","223,456","86,813","82,407","110,353","586,621","28,503","82,751","70,902","134,035","102,024","108,995","41,284","122,260","260,456","86,889","208,093","97,338","43,621","99,398","50,699","85,106","164,380","107,084","77,692","248,193","165,040","211,830","169,732","159,381","94,805","138,941","75,325","80,808","59,876","89,354","121,413","168,757","356,406","55,937","31,110","49,551","97,126","115,837","107,479",,"52,782","58,527"
,"241,484","564,454","201,573","596,386","299,450","319,355","221,798","760,910","97,085","145,691","195,049","395,994","228,593","320,712","166,489","209,543","896,814","147,696","635,358","260,070","190,130","251,470","136,604","223,071","406,871","391,929","253,723","388,695","559,456","553,277","359,409","371,609","238,678","251,168","255,390","162,855","171,497","259,718","300,640","330,237","936,696","191,391","292,876","124,512","287,542","292,409","391,407","143,241","142,698","170,490"
